Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,Brick
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,Brick
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,Brick
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,Brick
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NormalGoomba/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,Brick
,,,,,,,,,,,,,,,,,,,CoinBox/Coin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,Brick,Brick,Brick,Brick,Brick,Brick,Brick,,,,Brick,Brick,Brick,CoinBox/Coin,,,,,,,,,,,,,,,CoinBox/SuperMushroom,,,,,,,,,,,Brick,Brick,Brick,,,,,Brick,CoinBox/Coin,CoinBox/Coin,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flagpole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,Brick
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,,,Coin,Coin,Coin,Coin,,,,,Coin,Coin,Coin,Coin,,,,,Coin,Coin,Coin,Coin,,,,,Coin,Coin,Coin,Coin,,,,Brick,Brick
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,,,Brick,Brick,Brick,Brick,,,,,Brick,Brick,Brick,Brick,,,,,Brick,Brick,Brick,Brick,,,,,Brick,Brick,Brick,Brick,,,,Brick,Brick
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Step,Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,Brick
GreenKoopa/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NormalGoomba/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Step,Step,Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brick,Brick
